sample	FDR05	FDR01	FDR001
MMP4.135+.BM	0.412618679620225	0.428542375784043	0.440538166200299
Mo.6C-II-.Bl	0.447274488807302	0.458323502645859	0.471824349792688
Mo.6C+II-.Bl	0.44087988255397	0.447242560226736	0.458884877657441
NK.27-11b+.BM	0.462846494293035	0.467492010634584	0.472620946305157
NK.27-11b+.Sp	0.458130877742947	0.463210702341137	0.46946474086661
NK.27+11b-.BM	0.452914869829101	0.458578607322326	0.466229732575279
NK.27+11b-.Sp	0.448891365655133	0.454429639530513	0.459605399792316
NK.27+11b+.BM	0.448460528671162	0.456231759152254	0.461319611093244
NK.27+11b+.Sp	0.449821609767274	0.453114508038077	0.455983493810179
NKT.Sp	0.464040983427108	0.471877156659765	0.479795126727677
NKT.Sp.LPS.18hr	0.453947368421053	0.464151855881997	0.473397260273973
NKT.Sp.LPS.3d	0.472646259590793	0.479376975629652	0.486427971304854
NKT.Sp.LPS.3hr	0.461126440512904	0.468270987213089	0.47456204379562
preB.FrD.BM	0.451930438586897	0.456535671255351	0.464912280701754
preT.DN1.Th	0.414003130781272	0.426160337552743	0.435367261386419
preT.DN2a.Th	0.41270464064661	0.430203932772088	0.440249226651456
preT.DN2b.Th	0.426788561465491	0.440295866960961	0.449197187003756
preT.DN3.Th	0.454137442892993	0.466660528920294	0.477641051101103
proB.CLP.BM	0.430547968114165	0.446467807970155	0.457264757996829
proB.FrA.BM	0.42407635347674	0.438460473487471	0.451344148076641
proB.FrBC.BM	0.447567697511891	0.45245259254076	0.462162878536876
STHSC.150-.BM	0.441329767947788	0.453875270917916	0.467301666875548
T.4.Nve.Fem.Sp	0.455748064303323	0.465332796204288	0.476244209526072
T.4.Nve.Sp	0.478207625939326	0.487483085250338	0.496858638743455
T.4.Sp.aCD3+CD40.18hr	0.477921922162032	0.488964216535834	0.500921988484552
T.4.Th	0.467426567295046	0.477799711263663	0.488791897961778
T.8.Nve.Sp	0.459582711858595	0.468546352166758	0.476831613918517
T.8.Th	0.458563995145712	0.469265680881769	0.4824181851423
T.DN4.Th	0.470932518677596	0.485695358754606	0.500079671117626
T.DP.Th	0.496953263943555	0.511329447160587	0.523267540700187
T.ISP.Th	0.488031174614956	0.502070518232622	0.515549273021002
T8.IEL.LCMV.d7.Gut	0.49672538787518	0.508588165210485	0.524180855630276
T8.MP.LCMV.d7.Sp	0.464375852979117	0.471835207788782	0.476995878491833
T8.Tcm.LCMV.d180.Sp	0.447862428062483	0.451926753621957	0.456327882185494
T8.TE.LCMV.d7.Sp	0.479730588384801	0.487612405946045	0.497445255474453
T8.Tem.LCMV.d180.Sp	0.458198866114261	0.466180389956516	0.467697483804002
T8.TN.P14.Sp	0.45761133967987	0.466144333064485	0.472368821678677
Tgd.g1.1+d1.24a+.Th	0.448596783494586	0.460966833541927	0.469419571474257
Tgd.g1.1+d1.LN	0.476810541606142	0.480741084496484	0.48515779606291
Tgd.g2+d1.24a+.Th	0.474957410562181	0.483457640084146	0.491159479488825
Tgd.g2+d1.LN	0.466107826260509	0.472768953659735	0.478022932592078
Tgd.g2+d17.24a+.Th	0.456662602334088	0.465015380377393	0.471502239109784
Tgd.g2+d17.LN	0.475349343657371	0.476895221601197	0.479917076962944
Tgd.Sp	0.466075539261659	0.475706694056178	0.486096063560852
Treg.4.25hi.Sp	0.490011129660545	0.504795117698344	0.511128314302303
Treg.4.FP3+.Nrplo.Co	0.481780781663238	0.488626023657871	0.496785046728972
