sample	FDR05	FDR01	FDR001
T8.Tem.LCMV.d180.Sp	0.400363306085377	0.409503512510853	0.409539306417167
T8.TN.P14.Sp	0.403063725490196	0.407642632225009	0.416847119965353
Tgd.g1.1+d1.24a+.Th	0.402735184417737	0.411144785783166	0.416684747233673
Tgd.g1.1+d1.LN	0.417143717987346	0.42165996188863	0.4253766851705
Tgd.g2+d1.24a+.Th	0.420973782771536	0.427093650269616	0.430533544638141
Tgd.g2+d1.LN	0.403672336488506	0.413750475465957	0.418446974542663
Tgd.g2+d17.24a+.Th	0.405526962488988	0.41054392268616	0.414754409254694
Tgd.g2+d17.LN	0.412072575017446	0.411180411180411	0.418064024390244
Tgd.Sp	0.402613685682596	0.412503269683495	0.421831892587824
Treg.4.25hi.Sp	0.433725428278203	0.448977285568991	0.451704122637297
Treg.4.FP3+.Nrplo.Co	0.423204354514259	0.428947999041457	0.435292802860974
