Unexplained	Tissue	Phylogeny	genes	rank
0	0	100	BC026585	70
0	0	100	Bbox1	71
0	0	100	Bhlha15	72
0	0	100	Blk	73
0	0	100	Boc	74
0	0	100	Btd	75
0	0	100	Cacna1i	76
0	0	100	Camk2d	77
0	0	100	Cblc	78
0	0	100	Cbln2	79
0	0	100	Cbr4	80
0	0	100	Ccdc146	81
0	0	100	Ccdc33	82
0	0	100	Ccdc71l	83
0	0	100	Ccs	84
0	0	100	Cd248	85
0	0	100	Cd28	86
0	0	100	Cd37	87
0	0	100	Cd3d	88
0	0	100	Cd3e	89
0	0	100	Cd40lg	90
0	0	100	Cdc20b	91
0	0	100	Cdk9	92
0	0	100	Cdkn2c	93
0	0	100	Cdpf1	94
0	0	100	Ceacam10	95
0	0	100	Cecr2	96
0	0	100	Cep104	97
0	0	100	Cep164	98
0	0	100	Ces1d	99
0	0	100	Ces4a	100
0	0	100	Chac1	101
0	0	100	Chil1	102
0	0	100	Chml	103
0	0	100	Chrm3	104
0	0	100	Chrna5	105
0	0	100	Chsy1	106
0	0	100	Churc1	107
0	0	100	Cldn2	108
0	0	100	Clec4b2	109
0	0	100	Clhc1	110
0	0	100	Cln6	111
0	0	100	Cmc1	112
0	0	100	Cntnap3	113
0	0	100	Col8a2	114
0	0	100	Cope	115
0	0	100	Coq9	116
0	0	100	Cpa6	117
0	0	100	Cpeb1	118
0	0	100	Creld2	119
0	0	100	Crisp2	120
0	0	100	Crispld2	121
0	0	100	Crtac1	122
0	0	100	Ctxn3	123
0	0	100	Cym	124
0	0	100	Cyp17a1	125
0	0	100	Cyyr1	126
0	0	100	D7Ertd143e	127
0	0	100	Ddost	128
0	0	100	Ddx26b	129
0	0	100	Ddx41	130
0	0	100	Ddx60	131
0	0	100	Derl3	132
0	0	100	Desi2	133
0	0	100	Dgkd	134
0	0	100	Dhx32	135
0	0	100	Diras2	136
0	0	100	Dnm3os	137
0	0	100	Dnpep	138
0	0	100	Dpysl5	139
0	0	100	Edem2	140
0	0	100	Emp2	141
0	0	100	Enpp4	142
0	0	100	Epb42	143
0	0	100	Erc1	144
0	0	100	Erich2	145
0	0	100	Erlec1	146
0	0	100	Etl4	147
0	0	100	Etv6	148
0	0	100	F830045P16Rik	149
0	0	100	F9	150
0	0	100	Fam124a	151
0	0	100	Fam65c	152
0	0	100	Fam71b	153
0	0	100	Faxc	154
0	0	100	Fezf2	155
0	0	100	Fhdc1	156
0	0	100	Fndc1	157
0	0	100	Foxd4	158
0	0	100	Foxn1	159
0	0	100	Foxn4	160
0	0	100	Fut1	161
0	0	100	Galm	162
0	0	100	Galnt14	163
0	0	100	Galnt5	164
0	0	100	Gc	165
0	0	100	Gja4	166
0	0	100	Gja5	167
0	0	100	Gm10509	168
0	0	100	Gm11837	169
0	0	100	Gm13539	170
0	0	100	Gm14207	171
0	0	100	Gm1647	172
0	0	100	Gm16596	173
0	0	100	Gm16894	174
0	0	100	Gm17455	175
0	0	100	Gm38509	176
0	0	100	Gm4371	177
0	0	100	Gm4814	178
0	0	100	Gm4827	179
0	0	100	Gm525	180
0	0	100	Gm5483	181
0	0	100	Gm590	182
0	0	100	Gm6416	183
0	0	100	Golga7	184
0	0	100	Golph3	185
0	0	100	Gorasp2	186
0	0	100	Gpm6a	187
0	0	100	Gpx6	188
0	0	100	Gpx8	189
0	0	100	Grhpr	190
0	0	100	Gsdmc3	191
0	0	100	Gstm4	192
0	0	100	Gtf2a1l	193
0	0	100	Gxylt2	194
0	0	100	Gypa	195
0	0	100	H13	196
0	0	100	H1fx	197
0	0	100	H6pd	198
0	0	100	Hand1	199
0	0	100	Has2	200
0	0	100	Hbb-bh1	201
0	0	100	Hdac4	202
0	0	100	Hdlbp	203
0	0	100	Hint2	204
0	0	100	Hist4h4	205
0	0	100	Hmgcll1	206
0	0	100	Hmgcs2	207
0	0	100	Hnf1b	208
0	0	100	Hoxa3	209
0	0	100	Hoxb5	210
0	0	100	Hrh4	211
0	0	100	Hsp90b1	212
0	0	100	Igf2r	213
0	0	100	Igsf9	214
0	0	100	Iigp1	215
0	0	100	Il1bos	216
0	0	100	Il1f9	217
0	0	100	Il24	218
0	0	100	Itgb2l	219
0	0	100	Jchain	220
0	0	100	Kcne1l	221
0	0	100	Kcnf1	222
0	0	100	Kcnj1	223
0	0	100	Kcnk7	224
0	0	100	Kcnmb4os2	225
0	0	100	Khdc1a	226
0	0	100	Khdc3	227
0	0	100	Klf15	228
0	0	100	Klf5	229
0	0	100	Klhl14	230
0	0	100	Klhl2	231
0	0	100	Klk15	232
0	0	100	Klk1b22	233
0	0	100	Klra10	234
0	0	100	Klra14-ps	235
0	0	100	Klra18	236
0	0	100	Klra23	237
0	0	100	Krt36	238
0	0	100	Krt81	239
0	0	100	Krt86	240
0	0	100	Lancl1	241
0	0	100	Lao1	242
0	0	100	Lcn4	243
0	0	100	Lcn8	244
0	0	100	Lgals3bp	245
0	0	100	Lhfp	246
0	0	100	Lhx1	247
0	0	100	Lin28a	248
0	0	100	Lman2	249
0	0	100	Lnp	250
0	0	100	Loxhd1	251
0	0	100	Lpin1	252
0	0	100	Ltf	253
0	0	100	Ly6g	254
0	0	100	Lztr1	255
0	0	100	Map3k7	256
0	0	100	Mapk4	257
0	0	100	Matn4	258
0	0	100	Mbtps1	259
0	0	100	Mcam	260
0	0	100	Mecr	261
0	0	100	Mettl8	262
0	0	100	Mfap5	263
0	0	100	Mirt2	264
0	0	100	Mpzl1	265
0	0	100	Mpzl2	266
0	0	100	Mrpl37	267
0	0	100	Mrps36	268
0	0	100	Ms4a15	269
0	0	100	Msantd4	270
0	0	100	Msx1	271
0	0	100	Mybpc2	272
0	0	100	Myod1	273
0	0	100	Nbeal2	274
0	0	100	Ncald	275
0	0	100	Ndufa11	276
0	0	100	Ndufa5	277
0	0	100	Ndufs3	278
0	0	100	Nlrp12	279
0	0	100	Nme5	280
0	0	100	Nodal	281
0	0	100	Nploc4	282
0	0	100	Ntm	283
0	0	100	Nuggc	284
0	0	100	Nxph4	285
0	0	100	Oas1c	286
0	0	100	Olfm4	287
0	0	100	Orm1	288
0	0	100	Osbpl10	289
0	0	100	Otop3	290
0	0	100	Ovol1	291
0	0	100	Pag1	292
0	0	100	Pagr1a	293
0	0	100	Panct2	294
0	0	100	Pawr	295
0	0	100	Pax5	296
0	0	100	Pcdh9	297
0	0	100	Pdp2	298
0	0	100	Pdzd3	299
0	0	100	Pex11b	300
0	0	100	Pfn2	301
0	0	100	Pglyrp4	302
0	0	100	Phactr3	303
0	0	100	Pinlyp	304
0	0	100	Platr14	305
0	0	100	Platr7	306
0	0	100	Plcd3	307
0	0	100	Plcg2	308
0	0	100	Plpp5	309
0	0	100	Plscr2	310
0	0	100	Pml	311
0	0	100	Polg	312
0	0	100	Ppp1r42	313
0	0	100	Ppp2cb	314
0	0	100	Praf2	315
0	0	100	Prg2	316
0	0	100	Prkcg	317
0	0	100	Prps1l1	318
0	0	100	Prune	319
0	0	100	Ptx3	320
0	0	100	Rabep1	321
0	0	100	Rbfa	322
0	0	100	Rcvrn	323
0	0	100	Reep5	324
0	0	100	Retnlg	325
0	0	100	Rgs13	326
0	0	100	Rgs4	327
0	0	100	Rhag	328
0	0	100	Rhoj	329
0	0	100	Rhov	330
0	0	100	Rhpn1	331
0	0	100	Rin3	332
0	0	100	Rnase12	333
0	0	100	Rnasel	334
0	0	100	Rnf103	335
0	0	100	Rnf130	336
0	0	100	Rnf150	337
0	0	100	Rps19bp1	338
0	0	100	S1pr2	339
0	0	100	Sar1a	340
0	0	100	Sbk1	341
0	0	100	Scaf11	342
0	0	100	Scfd1	343
0	0	100	Scn11a	344
0	0	100	Scrg1	345
0	0	100	Scrib	346
0	0	100	Scrn1	347
0	0	100	Sdccag3	348
0	0	100	Sdhaf2	349
0	0	100	Sdhaf3	350
0	0	100	Sdpr	351
0	0	100	Sec22a	352
0	0	100	Sec23b	353
0	0	100	Sec61a1	354
0	0	100	Serpinb9b	355
0	0	100	Sh3gl3	356
0	0	100	Sh3rf1	357
0	0	100	Siae	358
0	0	100	Sidt2	359
0	0	100	Siglech	360
0	0	100	Sik3	361
0	0	100	Sil1	362
0	0	100	Slain2	363
0	0	100	Slc16a5	364
0	0	100	Slc22a12	365
0	0	100	Slc22a20	366
0	0	100	Slc25a16	367
0	0	100	Slco4c1	368
0	0	100	Smad2	369
0	0	100	Smim10l1	370
0	0	100	Sntg2	371
0	0	100	Sowahd	372
0	0	100	Sp3	373
0	0	100	Sp3os	374
0	0	100	Spag6l	375
0	0	100	Spcs1	376
0	0	100	Spink8	377
0	0	100	Sppl3	378
0	0	100	Sqle	379
0	0	100	Srf	380
0	0	100	Srp9	381
0	0	100	Srprb	382
0	0	100	St14	383
0	0	100	St6galnac1	384
0	0	100	Stambpl1	385
0	0	100	Stfa1	386
0	0	100	Stfa2	387
0	0	100	Stfa2l1	388
0	0	100	Stk11ip	389
0	0	100	Stmnd1	390
0	0	100	Stra6	391
0	0	100	Stt3a	392
0	0	100	Styk1	393
0	0	100	Suds3	394
0	0	100	Sugt1	395
0	0	100	Swap70	396
0	0	100	Syndig1	397
0	0	100	Taf15	398
0	0	100	Tbc1d2b	399
0	0	100	Tbce	400
0	0	100	Tcf4	401
0	0	100	Tcf7l1	402
0	0	100	Tcstv3	403
0	0	100	Tctex1d2	404
0	0	100	Tekt4	405
0	0	100	Themis	406
0	0	100	Thnsl2	407
0	0	100	Tifa	408
0	0	100	Timp3	409
0	0	100	Tmem106c	410
0	0	100	Tmem151a	411
0	0	100	Tmem248	412
0	0	100	Tmx1	413
0	0	100	Tnfrsf17	414
0	0	100	Tnnt2	415
0	0	100	Tns3	416
0	0	100	Trim80	417
0	0	100	Trpm1	418
0	0	100	Tsnaxip1	419
0	0	100	Twf2	420
0	0	100	Txlnb	421
0	0	100	Txndc11	422
0	0	100	Ubl7	423
0	0	100	Ubxn4	424
0	0	100	Usp43	425
0	0	100	Vmn2r96	426
0	0	100	Vsig10	427
0	0	100	Wapl	428
0	0	100	Wbscr17	429
0	0	100	Wdr95	430
0	0	100	Wipf3	431
0	0	100	Wnt10a	432
0	0	100	Xkr6	433
0	0	100	Zdhhc20	434
0	0	100	Zfp185	435
0	0	100	Zkscan16	436
0	0	100	Zyx	437
0	0	100	a	438
0	0.0900900900900901	99.9099099099099	Mir9-3hg	439
0.0985221674876847	0	99.9014778325123	Ulbp1	440
0	0.106609808102345	99.8933901918977	Tprkb	441
0	0.111234705228031	99.888765294772	Ager	442
0	0.138888888888889	99.8611111111111	Gm14718	443
0	0.156739811912226	99.8432601880878	Reln	444
0	0.18796992481203	99.812030075188	Smtnl1	445
0	0.195694716242661	99.8043052837573	Vps26b	446
0.208986415882968	0	99.791013584117	Tas2r126	447
0	0.215285252960172	99.7847147470398	St5	448
0	0.216450216450216	99.7835497835498	5730488B01Rik	449
0.218102508178844	0	99.7818974918212	Asprv1	450
0	0.24174053182917	99.7582594681708	Foxj1	451
0	0.248756218905473	99.7512437810945	Adamts14	452
0	0.266311584553928	99.7336884154461	Klrc3	453
0	0.271370420624152	99.7286295793758	S100a9	454
0.273473108477666	0	99.7265268915223	Mut	455
0	0.277520814061055	99.722479185939	Stk32c	456
0	0.305576776165011	99.694423223835	Tmprss11b	457
0.322927879440258	0	99.6770721205597	Chst15	458
0.322927879440258	0	99.6770721205597	Surf2	459
0.327153762268266	0	99.6728462377317	Marc2	460
0	0.355029585798817	99.6449704142012	Lcn2	461
0	0.360576923076923	99.6394230769231	Evc	462
0	0.364298724954463	99.6357012750455	Svbp	463
0	0.403225806451613	99.5967741935484	Itpk1	464
0	0.40650406504065	99.5934959349593	Prkag1	465
0.442869796279894	0	99.5571302037201	Ccdc3	466
0	0.480192076830732	99.5198079231693	Chrne	467
0	0.505902192242833	99.4940978077572	Spry4	468
0	0.525624178712221	99.4743758212878	S100a8	469
0	0.529100529100529	99.4708994708995	Eif5b	470
0	0.5420054200542	99.4579945799458	Faap20	471
0	0.542299349240781	99.4577006507592	Thg1l	472
0	0.568181818181818	99.4318181818182	Kif19a	473
0	0.576923076923077	99.4230769230769	Meig1	474
0.58343057176196	0	99.416569428238	Prrg1	475
0	0.599700149925038	99.400299850075	Gm7534	476
0	0.603015075376884	99.3969849246231	Abca13	477
0	0.605326876513317	99.3946731234867	Fasl	478
0	0.62111801242236	99.3788819875776	8430423G03Rik	479
0	0.632911392405063	99.3670886075949	Zfp365	480
0	0.643776824034335	99.3562231759657	Ppp4r2	481
0	0.665188470066519	99.3348115299335	BC030336	482
0	0.674373795761079	99.3256262042389	Ak3	483
0	0.676691729323308	99.3233082706767	Gm5771	484
0	0.680272108843537	99.3197278911565	Dhps	485
0.691699604743083	0	99.3083003952569	Mrpl11	486
0	0.693756194251735	99.3062438057483	Rexo2	487
0	0.704845814977974	99.295154185022	Fadd	488
0.716479017400205	0	99.2835209825998	Opa1	489
0	0.726895119418484	99.2731048805815	A630076J17Rik	490
0	0.742574257425743	99.2574257425743	Gbp11	491
0.280112044817927	0.466853408029879	99.2530345471522	Mylip	492
0.747663551401869	0	99.2523364485981	Mob3a	493
0.756756756756757	0	99.2432432432432	C130060C02Rik	494
0	0.760456273764259	99.2395437262358	Ptpn6	495
0.789473684210526	0	99.2105263157895	Ltk	496
0.797266514806378	0	99.2027334851936	Gm11201	497
0	0.798175598631699	99.2018244013683	Ngp	498
0	0.8	99.2	Mrgpra2b	499
0	0.802407221664995	99.197592778335	Sep15	500
0	0.8274231678487	99.1725768321513	Tnfaip8	501
0.845410628019324	0	99.1545893719807	Azi2	502
0	0.848176420695505	99.1518235793045	Pgm3	503
0.242718446601942	0.606796116504854	99.1504854368932	Abhd13	504
0	0.865800865800866	99.1341991341991	Heatr6	505
0	0.869565217391304	99.1304347826087	Rasl10a	506
0	0.900225056264066	99.0997749437359	Bglap3	507
0	0.910746812386157	99.0892531876138	Cacna1h	508
0.916496945010183	0	99.0835030549898	Thoc5	509
0	0.922131147540984	99.077868852459	Camp	510
0.116550116550117	0.815850815850816	99.0675990675991	Cdh22	511
0	0.944287063267233	99.0557129367328	Obscn	512
0.961538461538462	0	99.0384615384615	9830166K06Rik	513
0	0.974930362116992	99.025069637883	Myzap	514
0.975609756097561	0	99.0243902439024	Mmp12	515
0	1.00896860986547	98.9910313901345	Ascc1	516
0	1.0126582278481	98.9873417721519	Snx25	517
0	1.01580135440181	98.9841986455982	Kpna4	518
0	1.03950103950104	98.960498960499	Ap1m2	519
0	1.04529616724739	98.9547038327526	Oosp2	520
0	1.10220440881764	98.8977955911824	Kif5c	521
0	1.15702479338843	98.8429752066116	Ggt7	522
0	1.22100122100122	98.7789987789988	Por	523
0	1.24309392265193	98.7569060773481	Clip4	524
0	1.25156445556946	98.7484355444305	Cldnd2	525
1.25523012552301	0	98.744769874477	Wdr13	526
0	1.25944584382872	98.7405541561713	Clcc1	527
1.26353790613718	0	98.7364620938628	Enoph1	528
0	1.26582278481013	98.7341772151899	Eaf2	529
1.26829268292683	0	98.7317073170732	Sub1	530
0	1.27340823970037	98.7265917602996	Ang2	531
0	1.2770137524558	98.7229862475442	Taf4	532
1.2847965738758	0	98.7152034261242	Tsnax	533
0	1.28676470588235	98.7132352941176	Gsdma2	534
0	1.30841121495327	98.6915887850467	1810046K07Rik	535
1.33333333333333	0	98.6666666666667	Rps6ka2	536
0	1.34099616858238	98.6590038314176	Lpin3	537
1.34744947064485	0	98.6525505293551	Ap4m1	538
1.38248847926267	0	98.6175115207373	Slc4a1	539
1.40388768898488	0	98.5961123110151	Cldn1	540
0	1.40540540540541	98.5945945945946	Gpt	541
1.40845070422535	0	98.5915492957747	Tram2	542
1.41766630316249	0	98.5823336968375	Bnip1	543
0	1.43042912873862	98.5695708712614	Steap4	544
1.43805309734513	0	98.5619469026549	Ninj2	545
1.45379023883697	0	98.546209761163	Osbp	546
1.45719489981785	0	98.5428051001822	Lhfpl4	547
0	1.45903479236813	98.5409652076319	Chrna9	548
1.46198830409357	0	98.5380116959064	Rybp	549
1.46579804560261	0	98.5342019543974	Vhl	550
0	1.48731408573928	98.5126859142607	Gm5124	551
1.49122807017544	0	98.5087719298246	Ghr	552
1.49516270888303	0	98.504837291117	Tmem129	553
0	1.49863760217984	98.5013623978202	Khdc1b	554
0	1.50375939849624	98.4962406015038	Smco2	555
0	1.50451354062187	98.4954864593781	Dnajb4	556
1.50753768844221	0	98.4924623115578	Klrb1a	557
0	1.51245551601424	98.4875444839858	Fxyd6	558
0	1.51745068285281	98.4825493171472	Pym1	559
1.51843817787419	0	98.4815618221258	Nmnat3	560
0	1.51869158878505	98.481308411215	Fcrl6	561
0	1.54162384378212	98.4583761562179	2610037D02Rik	562
0	1.54639175257732	98.4536082474227	Ldhc	563
0	1.54761904761905	98.4523809523809	1110032F04Rik	564
0	1.54761904761905	98.4523809523809	Cebpe	565
0	1.54798761609907	98.4520123839009	Il1r2	566
0	1.56599552572707	98.4340044742729	Clec12b	567
1.56739811912226	0	98.4326018808777	Airn	568
0	1.5693112467306	98.4306887532694	Hpcal4	569
1.5748031496063	0	98.4251968503937	Zfp623	570
0	1.57819225251076	98.4218077474892	Tmem163	571
1.58940397350993	0	98.4105960264901	Arhgap18	572
0	1.61153519932146	98.3884648006785	Ank1	573
1.62308385933273	0	98.3769161406673	Nbea	574
1.62980209545984	0	98.3701979045402	Tbc1d4	575
0	1.63487738419619	98.3651226158038	Ppm1n	576
0.119047619047619	1.54761904761905	98.3333333333333	Usp34	577
0	1.6726403823178	98.3273596176822	Ovca2	578
0	1.70109356014581	98.2989064398542	Pax8	579
0	1.70575692963753	98.2942430703625	Atp4a	580
1.71171171171171	0	98.2882882882883	Mbd6	581
0	1.71890798786653	98.2810920121335	Stk11	582
0	1.74793008279669	98.2520699172033	Fbxl3	583
0	1.75644028103044	98.2435597189695	Ssr3	584
1.77690029615005	0	98.22309970385	Oplah	585
0	1.80072028811525	98.1992797118848	Mrgpra2a	586
0	1.8018018018018	98.1981981981982	Gstt1	587
0	1.80265654648956	98.1973434535104	Hjurp	588
0	1.80275715800636	98.1972428419936	Tm7sf3	589
0.477554918815664	1.33715377268386	98.1852913085005	Polr2i	590
1.81992337164751	0	98.1800766283525	Zc3h12c	591
0	1.82207931404073	98.1779206859593	Dap	592
1.82648401826484	0	98.1735159817352	Usp44	593
0	1.85589519650655	98.1441048034934	Tmtc1	594
0	1.875	98.125	Pou2af1	595
0	1.88470066518847	98.1152993348115	Gbas	596
0	1.88679245283019	98.1132075471698	Gsto1	597
1.90249702734839	0	98.0975029726516	Adamts6	598
0	1.9047619047619	98.0952380952381	Dynlt3	599
1.94741966893866	0	98.0525803310613	Strip1	600
0	1.96078431372549	98.0392156862745	Hist3h2ba	601
0	1.96078431372549	98.0392156862745	Vdr	602
0	1.96656833824975	98.0334316617503	Gfpt2	603
0	1.96687370600414	98.0331262939958	Amz2	604
0	1.97368421052632	98.0263157894737	Pygo2	605
0	2.03045685279188	97.9695431472081	Agfg1	606
2.03139427516159	0	97.9686057248384	Tmem130	607
0	2.03252032520325	97.9674796747967	Nmnat2	608
0	2.04638472032742	97.9536152796726	Cxcr2	609
0	2.07547169811321	97.9245283018868	Ell3	610
0	2.08044382801664	97.9195561719834	Klra9	611
0	2.08333333333333	97.9166666666667	Sycp2	612
2.08574739281576	0	97.9142526071842	Cdr2l	613
0	2.09205020920502	97.907949790795	Crbn	614
0	2.10631895687061	97.8936810431294	Inhba	615
0	2.12044105173876	97.8795589482612	Gnb3	616
0	2.13049267643142	97.8695073235686	Cdkl1	617
2.13776722090261	0	97.8622327790974	Commd7	618
0	2.14007782101167	97.8599221789883	Syvn1	619
0	2.14132762312634	97.8586723768737	Slit1	620
0	2.14285714285714	97.8571428571428	Frmd4a	621
0	2.18068535825545	97.8193146417446	Sec22b	622
1.57397691500525	0.629590766002099	97.7964323189927	Zfp64	623
0	2.20532319391635	97.7946768060837	Tmem27	624
0	2.2108843537415	97.7891156462585	Sec14l4	625
0	2.21327967806841	97.7867203219316	Fut11	626
2.23577235772358	0	97.7642276422764	Exd2	627
2.23642172523962	0	97.7635782747604	Adamts9	628
0	2.24719101123596	97.752808988764	Tex21	629
0	2.25140712945591	97.7485928705441	Rubcn	630
2.28509249183896	0	97.714907508161	Gatad2b	631
2.2977022977023	0	97.7022977022977	Vmp1	632
0	2.29885057471264	97.7011494252874	Mdk	633
2.30547550432277	0	97.6945244956772	Oosp1	634
2.32172470978441	0	97.6782752902156	Mdga2	635
2.32258064516129	0	97.6774193548387	Sufu	636
0	2.32804232804233	97.6719576719577	Lrp10	637
0	2.37203495630462	97.6279650436954	Dhrs9	638
2.38870792616721	0	97.6112920738328	Them6	639
0	2.39680426098535	97.6031957390147	Noxred1	640
0	2.43093922651934	97.5690607734807	Bet1	641
0	2.47005988023952	97.5299401197605	Tex35	642
0	2.47524752475248	97.5247524752475	BC051142	643
2.47568523430592	0	97.5243147656941	Lars2	644
0	2.47831474597274	97.5216852540273	Olfr164	645
2.48262164846078	0	97.5173783515392	Hax1	646
0	2.4896265560166	97.5103734439834	Actr10	647
0	2.49480249480249	97.5051975051975	Ppm1h	648
0	2.5	97.5	Dcbld1	649
0	2.50431778929188	97.4956822107081	4930577N17Rik	650
0.835322195704057	1.67064439140811	97.4940334128878	Platr10	651
2.51256281407035	0	97.4874371859297	Ccdc160	652
0	2.5164113785558	97.4835886214442	Sept5	653
2.53164556962025	0	97.4683544303797	Ddt	654
0	2.5531914893617	97.4468085106383	Usp47	655
0	2.55474452554745	97.4452554744526	Gh	656
0	2.57234726688103	97.427652733119	Otud5	657
2.58751902587519	0	97.4124809741248	Sfn	658
0	2.60736196319018	97.3926380368098	Izumo1r	659
2.61437908496732	0	97.3856209150327	Dnajc19	660
2.66094420600858	0	97.3390557939914	Ccdc85a	661
0	2.70618556701031	97.2938144329897	Slc34a1	662
2.71565495207668	0	97.2843450479233	Rab26	663
2.00546946216955	0.72926162260711	97.2652689152233	D5Ertd615e	664
0	2.76717557251908	97.2328244274809	Ncam1	665
0	2.76923076923077	97.2307692307692	Cdhr3	666
0	2.77227722772277	97.2277227722772	Dnm3	667
0	2.77481323372465	97.2251867662753	Tpgs2	668
0	2.77777777777778	97.2222222222222	Adk	669
0	2.77777777777778	97.2222222222222	Mrps31	670
1.90627482128674	0.873709293089754	97.2200158856235	Gpr17	671
0	2.78128950695322	97.2187104930468	Dnajc7	672
0	2.78716216216216	97.2128378378378	Tm9sf1	673
2.81124497991968	0	97.1887550200803	Actr3b	674
2.58717660292463	0.224971878515186	97.1878515185602	Ifitm10	675
2.85459411239964	0	97.1454058876004	Sec24d	676
0	2.85714285714286	97.1428571428571	Tmco1	677
2.88600288600289	0	97.1139971139971	Sytl2	678
0	2.8869286287089	97.1130713712911	Gm1965	679
2.90055248618785	0	97.0994475138122	Mitd1	680
0	2.93427230046948	97.0657276995305	Arhgap25	681
0	2.94736842105263	97.0526315789474	Scd1	682
0	2.94759825327511	97.0524017467249	Lman1	683
0	2.95489891135303	97.045101088647	Rufy1	684
2.98826040554963	0	97.0117395944504	Brf2	685
0	2.99625468164794	97.0037453183521	Arfgef2	686
0	3.00081103000811	96.9991889699919	Acmsd	687
0	3.03413400758533	96.9658659924147	Klra3	688
0	3.04878048780488	96.9512195121951	Hhex	689
3.05635148042025	0	96.9436485195798	Pnp2	690
0	3.0812324929972	96.9187675070028	Thyn1	691
0	3.08219178082192	96.9178082191781	Hcrtr2	692
0	3.08219178082192	96.9178082191781	Uba5	693
0	3.11111111111111	96.8888888888889	Ubr3	694
3.11457174638487	0	96.8854282536151	Angptl6	695
3.11850311850312	0	96.8814968814969	Gphn	696
3.18181818181818	0	96.8181818181818	Nt5m	697
0	3.18725099601594	96.8127490039841	Cacnb1	698
0	3.19444444444444	96.8055555555556	2210013O21Rik	699
3.11769290724864	0.0779423226812159	96.8043647700702	Cygb	700
0	3.19735391400221	96.8026460859978	Itgax	701
3.1987814166032	0	96.8012185833968	Slc38a5	702
0.8	2.4	96.8	Acad8	703
0	3.26315789473684	96.7368421052632	Cdyl2	704
0	3.27706057596822	96.7229394240318	Ift20	705
0	3.28151986183074	96.7184801381693	Rnase6	706
0	3.28467153284671	96.7153284671533	Mzb1	707
0	3.30578512396694	96.6942148760331	Scn4a	708
0	3.32950631458094	96.6704936854191	Hs3st1	709
0	3.34261838440111	96.6573816155989	Tulp3	710
0	3.34685598377282	96.6531440162272	Rpl36al	711
3.36391437308869	0	96.6360856269113	Foxp3	712
3.36496980155306	0	96.6350301984469	Lgals8	713
3.36943441636582	0	96.6305655836342	Zbtb2	714
3.36967294350842	0	96.6303270564916	Msn	715
0	3.38427947598253	96.6157205240175	Entpd3	716
3.4	0	96.6	Tmem147	717
0	3.40557275541796	96.594427244582	Dnmt3l	718
0	3.41296928327645	96.5870307167235	Plekha2	719
3.42105263157895	0	96.5789473684211	Idi1	720
3.42105263157895	0	96.5789473684211	Nlk	721
3.42741935483871	0	96.5725806451613	Sft2d2	722
0	3.43035343035343	96.5696465696466	Bcl2l15	723
0	3.44827586206897	96.551724137931	Fbxl2	724
3.46534653465347	0	96.5346534653465	Ccdc43	725
3.46878097125867	0	96.5312190287413	Tmed2	726
0	3.47144456886898	96.528555431131	Phlda3	727
3.4729315628192	0	96.5270684371808	Slc16a14	728
0	3.47394540942928	96.5260545905707	Gm14085	729
0	3.48360655737705	96.516393442623	Tmed4	730
0	3.50467289719626	96.4953271028037	Baz1a	731
0	3.5181236673774	96.4818763326226	Cd53	732
0.270758122743682	3.24909747292419	96.4801444043321	Sdhaf4	733
0	3.52045670789724	96.4795432921028	Srebf2	734
